,game_id,year_id,fran_id,opp_fran,game_location,is_playoffs,pts,opp_pts,game_result,forecast,point_diff
22146,201005030PHO,2010,Spurs,Suns,A,1,102,111,L,0.32806063,-9
22147,201005050PHO,2010,Spurs,Suns,A,1,102,110,L,0.31349391,-8
22148,201005070BOS,2010,Celtics,Cavaliers,H,1,95,124,L,0.51791906,-29
22149,201005070SAS,2010,Spurs,Suns,H,1,96,110,L,0.57648408,-14
22150,201005090BOS,2010,Celtics,Cavaliers,H,1,97,87,W,0.45381576,10
22151,201005090SAS,2010,Spurs,Suns,H,1,101,107,L,0.53245091,-6
22152,201005110CLE,2010,Celtics,Cavaliers,A,1,120,88,W,0.23101342,32
22153,201005130BOS,2010,Celtics,Cavaliers,H,1,94,85,W,0.60729212,9
22154,201005160ORL,2010,Celtics,Magic,A,1,92,88,W,0.19590074,4
22155,201005180ORL,2010,Celtics,Magic,A,1,95,92,W,0.21986932,3
22156,201005220BOS,2010,Celtics,Magic,H,1,94,71,W,0.5016849,23
22157,201005240BOS,2010,Celtics,Magic,H,1,92,96,L,0.55326313,-4
22158,201005260ORL,2010,Celtics,Magic,A,1,92,113,L,0.26493692,-21
22159,201005280BOS,2010,Celtics,Magic,H,1,96,84,W,0.51006913,12
22160,201006030LAL,2010,Celtics,Lakers,A,1,89,102,L,0.34368968,-13
22161,201006060LAL,2010,Celtics,Lakers,A,1,103,94,W,0.32390988,9
22162,201006080BOS,2010,Celtics,Lakers,H,1,84,91,L,0.64203912,-7
22163,201006100BOS,2010,Celtics,Lakers,H,1,96,89,W,0.6103695,7
22164,201006130BOS,2010,Celtics,Lakers,H,1,92,86,W,0.62712657,6
22165,201006150LAL,2010,Celtics,Lakers,A,1,67,89,L,0.36136001,-22
22166,201006170LAL,2010,Celtics,Lakers,A,1,79,83,L,0.33082026,-4
22167,201010260BOS,2011,Celtics,Heat,H,0,88,80,W,0.73558152,8
22168,201010270CLE,2011,Celtics,Cavaliers,A,0,87,95,L,0.38457721,-8
22169,201010270NJN,2011,Nets,Pistons,H,0,101,98,W,0.58703983,3
22170,201010270OKC,2011,Thunder,Bulls,H,0,106,95,W,0.73946196,11
22171,201010270SAS,2011,Spurs,Pacers,H,0,122,109,W,0.76173973,13
22172,201010270TOR,2011,Knicks,Raptors,A,0,98,93,W,0.31935596,5
22173,201010290BOS,2011,Knicks,Celtics,A,0,101,105,L,0.15680569,-4
22174,201010290BOS,2011,Celtics,Knicks,H,0,105,101,W,0.84319431,4
22175,201010290DET,2011,Thunder,Pistons,A,0,105,104,W,0.62717998,1
22176,201010290NJN,2011,Nets,Kings,H,0,106,100,W,0.63394517,6
22177,201010300NYK,2011,Knicks,Trailblazers,H,0,95,100,L,0.43805978,-5
22178,201010300SAS,2011,Spurs,Pelicans,H,0,90,99,L,0.79684061,-9
22179,201010310NJN,2011,Nets,Heat,H,0,78,101,L,0.3432579,-23
22180,201010310OKC,2011,Thunder,Jazz,H,0,99,120,L,0.68119884,-21
22181,201011010LAC,2011,Spurs,Clippers,A,0,97,88,W,0.68642533,9
22182,201011020DET,2011,Celtics,Pistons,A,0,109,86,W,0.69677854,23
22183,201011030BOS,2011,Celtics,Bucks,H,0,105,102,W,0.78789896,3
